question id,question,a,b,c,d,solution
1,What is the capital of the United States?,Los Angeles,Washington D.C.,New York City,Chicago,b
2,What color is a stop sign?,Green,Red,Blue,Yellow,b
3,What is the smallest planet in our solar system?,Jupiter,Venus,Mercury,Mars,c
4,What is the largest ocean in the world?,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,d
5,What is the name of the biggest animal on Earth?,Elephant,Giraffe,Blue Whale,Hippopotamus,c
6,What is the name of the tree that produces acorns?,Pine,Maple,Oak,Birch,c
7,What is the name of the continent where Egypt is located?,North America,Europe,Asia,Africa,d
8,What is the name of the highest mountain in the world?,Mt. Kilimanjaro,Mt. Everest,Mt. Fuji,Mt. Rainier,b
9,What is the name of the famous painting by Leonardo da Vinci that is displayed at the Louvre museum?,The Starry Night,The Last Supper,Mona Lisa,The Scream,c
10,What is the name of the language spoken in China?,Mandarin,Spanish,French,English,a
11,What is the name of the longest river in the world?,Nile River,Amazon River,Yangtze River,Mississippi River,a
12,What is the name of the biggest planet in our solar system?,Mercury,Venus,Mars,Jupiter,d
13,What is the name of the animal that is also known as man's best friend?,Cat,Horse,Dog,Hamster,c
14,What is the name of the famous American singer who is known for her work as a pop vocalist?,Whitney Houston,Mariah Carey,Celine Dion,Adele,b
15,What is the name of the largest organ in the human body?,Heart,Liver,Brain,Skin,d
16,What is the name of the famous American entrepreneur who is known for his work as the CEO of Apple Inc.?,Mark Zuckerberg,Jeff Bezos,Bill Gates,Steve Jobs,d
17,"What is the name of the famous American musician who is known for his work as a guitarist for the band ""The Doors""?",Jimi Hendrix,Jimmy Page,Eddie Van Halen,Robby Krieger,d
18,What is the name of the smallest country in the world?,Monaco,Vatican City,Liechtenstein,San Marino,b
19,"What is the name of the famous American actor who is known for his work in the ""Rocky"" movies?",Sylvester Stallone,Arnold Schwarzenegger,Tom Cruise,Brad Pitt,a
20,"What is the name of the famous American author who wrote the novel ""To Kill a Mockingbird""?",Ernest Hemingway,F. Scott Fitzgerald,Harper Lee,Emily Bronte,c
21,What is the name of the famous American cartoon character who lives in a pineapple under the sea?,Bugs Bunny,Tom and Jerry,SpongeBob SquarePants,Daffy Duck,c
22,What is the name of the famous American actor who is known for his work as a comedian and talk show host?,Ellen DeGeneres,Oprah Winfrey,Jimmy Kimmel,David Letterman,c
23,"What is the name of the famous American actor who is known for his work as a superhero in the ""Iron Man"" movies?",Robert Downey Jr.,Chris Hemsworth,Chris Evans,Tom Hiddleston,a
24,What is the name of the famous American artist who is known for his work as a pop art painter?,Vincent van Gogh,Leonardo da Vinci,Pablo Picasso,Andy Warhol,d
25,"What is the name of the famous American author who wrote the ""Harry Potter"" book series?",J.K. Rowling,Stephenie Meyer,Suzanne Collins,Veronica Roth,a
26,What is the name of the famous American athlete who is known for his work as a professional golfer?,Tiger Woods,Phil Mickelson,Jordan Spieth,Rory McIlroy,a
